zip,commissions_total,commissions_active
77340,481,429
78205,480,437
78244,477,411
78596,477,414
78749,474,406
77627,474,412
76008,473,420
75454,472,411
76117,471,401
75232,471,396
77803,471,418
78738,470,414
75604,470,410
75090,470,430
79119,469,413
75051,469,409
75482,468,400
78620,467,401
76018,466,410
77045,466,391
77099,465,396
79118,465,411
75134,462,377
78621,462,411
77568,461,399
75082,459,382
78654,459,397
78734,456,394
76034,456,396
75252,453,406
77598,451,380
77096,450,387
77093,450,387
78218,449,403
77530,448,384
75241,448,398
77904,447,394
79606,447,399
79763,447,396
78624,447,391
77590,446,380
78582,445,389
78703,444,383
77320,444,385
78410,444,382
77502,443,377
78259,443,389
77021,439,375
78717,436,387
79703,435,363
77054,434,378
78589,434,387
79902,434,382
76012,433,369
76208,432,375
75110,432,384
75503,432,378
76040,431,355
79927,430,388
77401,429,370
75601,429,373
77382,429,387
78741,426,367
77662,426,365
77318,426,379
77053,426,361
78261,426,368
78586,425,363
76132,424,357
78552,423,374
77657,422,369
78114,422,381
78750,418,352
75501,417,362
76205,417,372
78754,416,350
79416,416,363
76201,416,357
78735,415,351
75159,415,364
77017,415,364
77701,415,365
76006,413,345
76009,412,367
77005,410,364
78723,409,355
76308,408,358
76266,405,353
77016,405,341
76801,405,350
79903,404,362
76114,404,349
75220,403,344
79720,403,364
79605,402,350
75455,401,341
78747,400,343
79015,399,351
78070,399,337
79106,398,354
77030,398,343
78644,396,346
77071,395,337
78729,394,344
77076,392,326
78412,392,337
78227,392,335
77022,392,337
76148,392,350
75215,391,351
78702,391,338
77069,390,344
75766,390,340
77840,389,334
77302,389,349
75020,389,340
78537,388,342
76706,388,340
78238,388,316
78374,388,344
75137,387,335
78163,387,347
77048,385,331
75092,385,334
76537,385,337
78611,384,339
75022,384,328
77091,383,336
77423,382,340
75662,380,337
77591,380,323
75751,380,335
75212,378,323
75036,377,319
78728,377,316
79407,376,324
77067,375,322
78617,375,322
77081,374,325
78252,374,324
77642,374,326
79932,374,329
77086,373,323
76135,373,317
75771,373,326
78418,372,314
76574,371,333
77378,370,328
77062,368,319
78633,367,320
75167,366,326
75218,366,324
79101,366,309
76111,365,319
76705,365,313
77035,364,322
77023,364,320
75460,363,317
78382,363,322
78239,360,317
76134,360,299
75057,360,321
76301,358,322
75202,357,300
78133,355,316
76015,355,299
75103,355,313
75235,354,298
79601,354,305
79401,353,333
78210,353,297
77038,351,311
77586,350,301
78727,349,298
78043,349,308
78015,348,306
77414,347,297
76110,346,304
78599,345,295
75180,345,302
76014,344,286
77484,344,307
79915,343,286
75169,342,286
77506,342,294
76901,342,298
76058,342,306
77025,341,303
75402,341,288
78801,341,296
77504,341,291
78757,340,301
78040,340,287
78516,339,300
77575,339,305
76701,339,303
78737,339,291
78363,338,292
77632,338,298
78121,338,297
76543,337,284
76054,335,293
75224,335,299
77345,332,296
76106,332,282
75094,332,296
75247,332,285
77020,332,280
76708,331,282
75209,331,279
77503,331,296
78645,329,295
75116,329,278
78332,328,288
77032,328,276
78222,325,275
77550,325,281
76031,324,290
78224,324,280
76504,324,277
76209,321,284
77474,320,289
77707,319,277
77437,319,286
76118,317,279
78752,317,267
76120,316,261
77328,312,281
77068,312,269
76450,310,279
78237,308,257
77039,308,267
79413,308,263
75054,307,270
79764,306,270
77029,304,255
77808,303,266
76067,302,265
79360,302,272
75251,301,263
76088,300,274
75495,300,265
77033,298,245
77336,297,269
77445,296,270
77094,295,243
78248,295,258
75633,294,254
77656,294,260
75143,293,255
75801,292,260
76103,291,244
76528,291,247
77488,289,248
77640,289,249
78724,289,248
76207,287,254
75951,287,254
78380,287,251
77510,286,240
79935,286,254
77026,285,247
77651,285,250
75401,285,255
75156,285,251
79714,284,248
77028,284,250
78570,282,254
75114,281,247
79072,280,247
78503,279,238
75791,278,242
76550,277,247
79934,277,230
75762,276,227
77551,276,236
75474,274,250
75249,273,227
76501,272,236
75672,272,251
75135,272,250
76084,271,233
79065,271,235
77046,270,241
75442,270,231
75065,269,231
75757,269,236
78945,267,234
78064,266,229
79904,265,233
78676,263,214
75961,262,228
78705,262,225
77051,262,215
76085,261,225
77372,261,230
75964,260,228
77061,257,220
78257,257,217
78211,257,226
76022,256,213
78102,255,214
79603,255,213
79110,253,222
77619,252,216
79905,252,218
77085,252,215
77868,252,232
77011,252,217
78204,252,217
77418,251,224
76643,250,215
76310,250,219
79029,250,227
75965,250,217
75935,249,225
78255,248,228
77836,246,209
77306,245,214
78566,245,205
75670,245,213
77461,244,216
75644,243,211
77003,243,198
75236,243,205
78669,243,207
75237,242,216
77713,240,215
78214,240,205
79772,239,203
76115,238,211
78861,236,213
75652,236,214
76196,236,212
75203,235,217
77037,234,208
75253,234,194
79045,234,200
75686,234,205
78220,233,204
77010,233,203
75707,232,201
77979,231,205
77531,229,206
77059,229,208
79336,228,190
77905,228,197
76302,228,199
78003,226,194
76426,226,200
78751,226,197
78219,225,204
75602,224,197
78242,224,189
76249,222,200
76541,222,185
78215,220,202
75773,220,198
76571,218,199
76044,218,200
78231,217,192
76645,216,191
78629,216,190
75418,216,187
78009,216,184
78730,216,190
75166,215,191
76060,214,189
75182,214,185
78612,213,176
76273,213,189
78942,213,184
79756,212,179
75147,211,181
77541,211,177
77587,209,190
79735,209,188
79331,207,189
79414,207,176
76105,206,178
77807,205,181
77031,205,168
79124,204,187
79930,203,171
76655,203,174
78726,202,178
79549,201,177
76164,201,180
76078,200,178
