city,commissions_total,commissions_active,commissions_expired
Wills Point,341,286,55
Lindale,340,295,45
Alamo,340,302,38
Liberty,336,303,32
La Marque,330,282,48
La Vernia,326,285,41
Mineral Wells,325,285,40
Mabank,324,280,44
El Campo,317,286,30
Brookshire,317,276,41
Sealy,314,283,31
Graham,310,279,31
Mount Pleasant,308,263,45
Seabrook,303,258,45
Van Alstyne,301,267,34
Seminole,300,270,30
Gatesville,296,252,44
Huffman,295,267,28
Carthage,292,252,40
Silsbee,292,258,34
Plainview,291,256,35
Hempstead,288,262,26
Pampa,288,248,40
Robstown,287,252,35
Wharton,285,245,40
Andrews,285,249,36
Jasper,285,253,32
Port Neches,284,250,34
Mercedes,279,251,28
Whitehouse,278,242,36
Crandall,277,243,34
Beeville,276,231,45
Lampasas,276,247,29
Mc Kinney,273,239,34
Bullard,272,239,33
Pleasanton,269,232,37
Farmersville,268,228,40
Caddo Mills,262,241,21
La Grange,261,229,32
Murphy,260,237,23
Wimberley,258,211,47
Hewitt,258,221,37
Horizon City,258,215,43
Quinlan,257,236,21
Navasota,256,236,20
Groves,255,218,37
Splendora,254,224,30
Bellville,249,222,27
Highland Village,249,213,36
Dumas,248,225,23
Center,247,223,23
Needville,246,218,28
Venus,246,212,34
Northlake,244,219,25
Caldwell,244,207,37
Los Fresnos,238,199,39
Spicewood,238,203,35
Pecos,236,200,36
Hondo,236,213,23
Woodway,235,206,29
Pittsburg,234,205,29
Port Lavaca,233,207,26
Hereford,232,198,34
Lago Vista,230,210,20
Levelland,228,190,38
Bandera,226,194,32
Lakeway,223,199,24
Krum,222,200,22
Bonham,220,191,29
Godley,218,201,17
Castroville,218,185,33
Gonzales,216,190,26
Lavon,216,192,24
Mineola,216,195,21
Snyder,215,190,25
Cedar Creek,215,176,39
Hillsboro,215,190,25
Kemp,215,188,27
Salado,214,196,18
Whitesboro,214,189,25
Sunnyvale,213,184,29
Kennedale,213,188,25
Giddings,212,183,29
Monahans,210,177,33
Fort Stockton,205,184,21
Lorena,204,175,29
Lamesa,204,186,18
South Houston,204,184,20
Vernon,197,171,26
Bridge City,197,178,19
Selma,197,177,20
Bowie,196,175,21
Rusk,195,172,23
Heartland,193,164,29
Crockett,193,161,32
Heath,191,168,23
Gladewater,190,162,28
Sinton,189,175,14
Quitman,189,163,26
Sweetwater,188,167,21
Socorro,188,170,18
Cuero,187,167,20
Freeport,185,156,29
Rhome,184,162,22
Bridgeport,184,163,21
Borger,184,166,18
Live Oak,183,163,20
Robinson,181,161,19
Alton,181,166,15
Burkburnett,181,147,34
Clute,180,160,20
Woodville,176,149,27
Smithville,175,153,22
Wolfforth,175,159,16
Hallettsville,174,154,20
Winnsboro,174,150,24
Kountze,173,161,12
Lake Dallas,172,145,27
Dalhart,172,151,21
Pinehurst,172,148,24
Anahuac,171,144,27
Columbus,171,159,12
Chandler,170,153,17
Hallsville,170,149,21
