city,commissions_total,commissions_active,commissions_expired
China Grove,10,8,2
Ackerly,10,10,0
Long Branch,10,10,0
Bergheim,10,10,0
University Park,9,6,3
Gail,9,8,1
Cut And Shoot,9,8,1
Hargill,9,9,0
Royce City,9,9,0
Combes,9,9,0
Leesville,9,8,1
Rosenburg,9,7,2
Ladonia,9,8,1
Burke,9,7,2
Petrolia,9,8,1
Roxton,9,7,2
Doss,9,9,0
Sargent,9,6,3
Mentone,9,8,1
Rochelle,9,9,0
Ysleta Del Sur Pueblo,9,7,2
Merit,9,6,3
Rule,9,8,1
Bardwell,9,7,2
Kendleton,9,8,1
Rio Grande,9,8,1
Los Indios,9,9,0
La Blanca,9,8,1
Dodge,9,9,0
Callisburg,9,8,1
Mccoy,9,9,0
Midland (Midland),9,9,0
Driscoll,8,7,1
Markham,8,6,2
Kendalia,8,8,0
Volente,8,8,0
Cranfills Gap,8,5,3
Mullin,8,8,0
Dripping Spgs,8,8,0
Hart,8,7,1
Deweyville,8,7,1
Placedo,8,8,0
Rio Grande Cy,8,8,0
Malone,8,6,2
Telephone,8,8,0
Byers,8,7,1
Slidell,8,6,2
Mountain City,8,7,1
Rio Medina,8,8,0
Bagwell,8,6,2
Pyote,8,7,1
Channing,8,6,2
Wellborn,8,6,2
Blackwell,8,8,0
Milam,8,8,0
Redwater,8,6,2
Sebastian,8,6,2
East Tawakoni,8,8,0
Wall,8,6,2
Lakewood Village,8,8,0
Old River Winfree,8,5,3
Forreston,8,6,2
Tuleta,8,7,1
Muldoon,8,8,0
Gustine,8,7,1
New Summerfield,8,8,0
Balmorhea,8,6,2
Tivoli,8,8,0
Smyer,8,7,1
Westbrook,8,8,0
Christine,8,7,1
Mt Enterprise,8,4,4
Darrouzett,8,8,0
Grand Praire,8,7,1
Chatfield,7,7,0
El Cenizo,7,7,0
Taylor Lake Village,7,7,0
Riverside,7,6,1
Desdemona,7,4,3
Skellytown,7,7,0
Lackland Afb,7,6,1
Alamo Heights,7,5,2
Imperial,7,6,1
Powell,7,6,1
Weir,7,7,0
Rochester,7,6,1
Bleiblerville,7,6,1
Meyersville,7,5,2
Mineral,7,6,1
Romayor,7,5,2
Hungerford,7,6,1
Brookside Village,7,6,1
Concan,7,6,1
West University Place,7,7,0
Lagrange,7,7,0
Mt. Pleasant,7,7,0
Richland,7,6,1
Wingate,7,7,0
Fredericksbrg,7,7,0
Mcdade,7,6,1
Loving,7,6,1
Grulla,7,7,0
Golden,7,7,0
Randolph,7,6,1
Fair Oaks,7,6,1
Sabine Pass,7,4,2
Comstock,7,5,2
Cost,7,5,2
Petty,7,6,1
Mingus,7,6,1
Turkey,7,6,1
Lohn,7,7,0
Houstonhouston,7,6,1
Asherton,7,6,1
Woodland,7,6,1
Hedwig Village,7,5,2
Wadsworth,7,6,1
Orangefield,7,4,3
Megargel,7,7,0
Loop,6,6,0
Eliasville,6,6,0
Nursery,6,5,1
La Grulla,6,6,0
Lueders,6,6,0
Knollwood,6,5,1
Dallasdallas,6,6,0
Votaw,6,4,2
Gilchrist,6,5,1
Panorama Village,6,4,2
Roaring Springs,6,6,0
Rye,6,6,0
Fentress,6,4,2
Austinaustin,6,6,0
Sheffield,6,6,0
Pledger,6,5,1
Carrolton,6,5,1
Prairie Lea,6,4,2
San  Antonio,6,6,0
Vanderpool,6,3,3
Deberry,6,5,1
Grandfalls,6,5,1
Fred,6,5,1
Lake Creek,6,6,0
Sunrise Beach,6,3,3
Stowell,6,6,0
Waring,6,5,1
Annona,6,5,1
Wildorado,6,6,0
Roman Forest,6,6,0
Valentine,6,5,1
Thompsons,6,5,1
Webberville,6,6,0
Marathon,6,5,1
Fort,6,6,0
D Hanis,6,6,0
Batesville,6,5,1
Water Valley,6,5,1
St Hedwig,6,5,1
Elysian Fields,6,6,0
Reklaw,6,5,1
Telferner,6,4,2
Thicket,6,6,0
Ira,6,6,0
Amherst,5,5,0
Austwell,5,5,0
Palm Valley,5,4,1
Roundrock,5,4,1
Lowry Crossing,5,5,0
Enchanted Oaks,5,5,0
Dennis,5,3,2
Quitaque,5,5,0
Surfside Beach,5,5,0
Barksdale,5,3,2
Boys Ranch,5,4,1
Egypt,5,5,0
Rollingwood,5,5,0
Hedley,5,5,0
Bayside,5,5,0
Housotn,5,4,1
Weston,5,5,0
Sansom Park,5,4,1
Sulphur Spgs,5,4,1
Sienna Plantation,5,5,0
Gun Barrel Cy,5,5,0
Pawnee,5,4,1
High Island,5,3,2
Shiro,5,5,0
Guthrie,5,5,0
Ausitn,5,5,0
Loraine,5,2,3
Avalon,5,4,1
Wheelock,5,5,0
Yancey,5,5,0
Los Ebanos,5,5,0
Leggett,5,3,2
Copeville,5,5,0
Deanville,5,5,0
San Anotnio,5,5,0
Pennington,5,5,0
Tarpley,5,5,0
Providnce Village,5,5,0
Lenorah,5,4,1
St. Hedwig,5,4,1
Lake City,5,5,0
Rosser,5,3,2
Wellman,5,5,0
Edingburg,5,5,0
Lacoste,5,4,1
Tarzan,5,5,0
Gillett,5,5,0
Texline,5,3,2
De Soto,5,5,0
